Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_NEWARK
4,0.1u,C-USC0805,C0805,"C4, C5","CAPACITOR, American symbol",,C2012X7R1H104K085AA,04X3288
2,0.22u,C-USC0805,C0805,C2,"CAPACITOR, American symbol",,MC0805B224M250CT,06R3809
2,100,R-US_R0805,R0805,R7,"RESISTOR, American symbol",,MCHP05W4F1000T5E,01N6987
8,10k,R-US_R0805,R0805,"R1, R2, R3, R4, R5, R6","RESISTOR, American symbol",,RC0805FR-0710KL,05M4535
10,1N4004,1N4004,DO41-10,"D1, D2, D3, D4, D5, D6, D7, D8",DIODE,,1N4007-E3/54,05R5987
4,1u,C-USC0805,C0805,"C1, C3","CAPACITOR, American symbol",,EMK212B7105KD-T,77M8435
2,MCP1700,MCP1700,TO92,IC3,"1.2V, 1.8V, 2.5V, 2.8V, 3.0V, 3.3V, 5.0V",MICROCHIP,MCP1700-5002E/TO,34M7415
2,PIN,2PINHEADER,2PINHEAD,J1,2-PIN HEADER 2.54mm,,,11P3428
2,RAS-PI,40W_PI_HAT_TPH,2X20,JP1,PIN HEADER,SAMTEC,SSW-120-01-G-D,50M2393
2,SN754410,SN754410,DIL16,IC1,,TEXAS INSTRUMENTS,SN754410NE,08F8145
2,TSOP38238,TSOP38238,TSOP38238,IC2,TSOP38238 IR sensor,,TSOP38238,02P9885
,,,,,,,,
,,,,,,,,
1,Universal remote control we'll get this locally.,,,,,,,
